Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3792,FLEET TECH,1," 	63,426 "
3720,MASTER AUTO BODY TEC,1," 	62,691 "
1313,FLEET TECH,1," 	68,910 "
2451,FLEET TECH,1," 	60,028 "
2721,FLEET TECH,1," 	61,161 "
10490,FLEET TECH,1," 	49,011 "
1755,FLEET TECH,1," 	60,028 "
3854,FLEET TECH,1," 	63,426 "
10208,FLEET TECH,1," 	49,011 "
3161,FLEET TECH,1," 	68,910 "
1920,FLEET SERVS SUPT,1," 	97,527 "
9195,FLEET PARTS TECH,1," 	47,410 "
9313,FLEET TECH,1," 	50,607 "
2480,ACCT TECH 2,1," 	55,435 "
2590,SIGN PAINTER,1," 	63,866 "
3446,TRAFF SIG ELECTR 2,1," 	70,785 "
2878,TRAFF SIG ELECTR 1-16,1," 	60,904 "
2301,TRAFF ENGR 4,1," 	109,763 "
3411,CITY TRAFF ENGR/PKG,1," 	145,425 "
2356,TRAFF SIG ELECTR 2,1," 	69,474 "
1259,ENGR PROG SPEC 1,1," 	72,751 "
3497,STOREKEEPER,1," 	60,511 "
6336,TRAFF CONT MAINT WKR,1," 	51,169 "
2820,TRAFF OPER LDWKR,1," 	64,548 "
7782,TRAFF CONT MAINT WKR,1," 	48,449 "
1602,TRAFF OPER MGR,1," 	90,383 "
3204,COMMUNIC TECH 2,1," 	73,406 "
3060,TRAFF OPER LDWKR,1," 	64,548 "
1055,TRANSP OPNS ANAL,1," 	82,305 "
1510,COMM TECH 3,1," 	73,580 "
1648,TRAFF ENGR 2,1," 	90,383 "
3937,COMP MAP/GIS COORD,1," 	95,438 "
7690,COMMUNIC TECH 1-16,1," 	55,254 "
1839,TRAFF SIG MAINT WKR,1," 	55,649 "
5916,TRAFF SIG MAINT WKR,1," 	52,531 "
1543,PED BICYCLE SAFETY A,1," 	55,577 "
2217,COMMUNIC TECH 1,1," 	62,678 "
VACANT,VACANT,VACANT,VACANT
3659,COMM OPER LDWKR,1," 	63,129 "
3525,TRAFF SIG ELECTR 1,1," 	65,635 "
3711,SECRETARY 1,1," 	54,585 "
8980,COMMUNIC TECH 1,1," 	54,028 "
VACANT,VACANT,VACANT,VACANT
